,plate_forme,rating,nb_tokens,category_nps,category_numeric,adjs_counts,nouns_counts,pronouns_counts,prop_nouns_counts,adverbs_counts,verbs_counts,interjections_counts,symbols_counts
0,AMAZON,1,73,Détracteur,-1,3,7,7,1,6,15,0,0
1,AMAZON,1,83,Détracteur,-1,0,15,14,2,7,12,0,0
2,AMAZON,1,50,Détracteur,-1,2,9,5,4,5,6,0,0
3,AMAZON,1,131,Détracteur,-1,9,32,9,7,10,12,0,0
4,AMAZON,1,55,Détracteur,-1,3,10,4,2,10,10,0,0
5,AMAZON,1,50,Détracteur,-1,4,8,6,1,9,8,0,0
6,AMAZON,1,66,Détracteur,-1,8,14,6,2,7,11,0,0
7,AMAZON,5,48,Promoteur,1,3,10,5,1,5,9,0,0
8,AMAZON,1,56,Détracteur,-1,2,10,5,2,0,11,0,0
9,AMAZON,1,62,Détracteur,-1,3,12,2,3,4,7,0,0
10,AMAZON,1,154,Détracteur,-1,9,29,7,6,10,20,0,0
11,AMAZON,1,34,Détracteur,-1,1,7,6,0,2,7,0,0
12,AMAZON,5,83,Promoteur,1,5,17,7,2,8,8,0,0
13,AMAZON,1,73,Détracteur,-1,2,7,10,3,5,12,0,0
14,AMAZON,5,32,Promoteur,1,4,7,2,0,7,3,0,0
15,AMAZON,1,58,Détracteur,-1,2,12,4,1,2,6,0,0
16,AMAZON,1,23,Détracteur,-1,4,5,2,3,1,2,0,0
17,AMAZON,3,154,Neutre,0,10,24,8,5,12,16,0,0
18,AMAZON,3,54,Neutre,0,3,7,7,4,6,12,0,0
19,AMAZON,1,58,Détracteur,-1,4,18,4,2,2,7,0,0
20,AMAZON,1,113,Détracteur,-1,1,19,9,3,5,12,0,0
21,AMAZON,1,88,Détracteur,-1,5,19,4,1,6,14,0,0
22,AMAZON,1,52,Détracteur,-1,1,8,6,3,4,9,0,0
23,AMAZON,4,73,Promoteur,1,8,9,6,3,3,15,0,0
24,AMAZON,4,59,Promoteur,1,4,7,6,3,8,6,0,0
25,AMAZON,1,28,Détracteur,-1,4,3,5,1,2,1,0,0
26,AMAZON,5,49,Promoteur,1,3,8,5,1,5,7,0,0
27,AMAZON,1,29,Détracteur,-1,3,7,1,0,1,6,0,0
28,AMAZON,1,55,Détracteur,-1,3,8,3,5,3,5,0,0
29,AMAZON,1,126,Détracteur,-1,6,22,9,2,6,14,0,0
30,AMAZON,1,53,Détracteur,-1,6,12,2,2,2,7,0,0
31,AMAZON,3,74,Neutre,0,5,15,5,2,7,8,0,0
32,AMAZON,5,36,Promoteur,1,6,7,5,1,3,2,0,0
33,AMAZON,4,84,Promoteur,1,5,15,8,1,6,9,0,0
34,AMAZON,1,46,Détracteur,-1,1,9,6,0,4,6,0,0
35,AMAZON,5,48,Promoteur,1,4,10,2,0,2,5,0,0
36,AMAZON,1,98,Détracteur,-1,5,19,9,1,6,12,0,0
37,AMAZON,1,79,Détracteur,-1,5,8,6,1,6,11,0,0
38,AMAZON,1,75,Détracteur,-1,4,12,9,2,2,12,0,0
39,AMAZON,1,73,Détracteur,-1,5,9,10,3,3,12,0,0
40,AMAZON,5,16,Promoteur,1,2,2,1,1,4,2,0,0
41,AMAZON,1,32,Détracteur,-1,3,5,2,0,3,3,0,0
42,AMAZON,1,62,Détracteur,-1,0,13,4,2,5,10,0,0
43,AMAZON,1,91,Détracteur,-1,1,14,10,3,9,11,0,0
44,AMAZON,1,188,Détracteur,-1,12,28,11,9,13,34,0,0
45,AMAZON,1,36,Détracteur,-1,3,7,3,0,4,4,0,0
46,AMAZON,1,95,Détracteur,-1,2,16,4,6,6,17,0,0
47,AMAZON,1,43,Détracteur,-1,1,8,5,3,3,7,0,0
48,AMAZON,1,105,Détracteur,-1,5,19,10,8,5,15,0,0
49,AMAZON,1,44,Détracteur,-1,3,11,3,0,3,6,0,0
50,AMAZON,5,43,Promoteur,1,4,8,2,2,6,3,0,0
51,AMAZON,1,23,Détracteur,-1,0,4,5,0,3,5,0,0
52,AMAZON,1,118,Détracteur,-1,8,20,13,1,5,14,0,0
53,AMAZON,1,46,Détracteur,-1,1,10,3,4,3,5,0,0
54,AMAZON,2,151,Détracteur,-1,10,33,8,4,4,15,0,0
55,AMAZON,1,68,Détracteur,-1,5,13,2,1,3,6,0,0
56,AMAZON,1,72,Détracteur,-1,4,23,3,1,4,6,0,0
57,AMAZON,2,180,Détracteur,-1,10,29,6,4,13,21,0,0
58,AMAZON,1,92,Détracteur,-1,6,13,4,3,4,16,0,0
59,AMAZON,1,65,Détracteur,-1,4,11,4,0,6,11,0,0
60,AMAZON,2,97,Détracteur,-1,3,12,10,2,4,16,0,0
61,AMAZON,1,69,Détracteur,-1,2,15,7,3,3,12,0,0
62,AMAZON,1,38,Détracteur,-1,2,9,5,0,3,6,0,0
63,AMAZON,2,126,Détracteur,-1,7,19,9,2,13,15,0,0
64,AMAZON,1,125,Détracteur,-1,5,17,11,3,10,24,0,0
65,AMAZON,1,137,Détracteur,-1,4,20,8,3,8,20,0,0
66,AMAZON,1,131,Détracteur,-1,5,20,9,4,5,18,0,0
67,AMAZON,1,24,Détracteur,-1,1,5,3,0,0,5,0,0
68,AMAZON,5,35,Promoteur,1,0,9,2,0,1,5,0,0
69,AMAZON,5,24,Promoteur,1,2,4,2,1,4,1,0,0
70,AMAZON,1,132,Détracteur,-1,7,18,12,4,6,16,0,0
71,AMAZON,1,47,Détracteur,-1,2,11,3,2,6,4,0,0
72,AMAZON,1,104,Détracteur,-1,11,16,8,1,10,13,0,0
73,AMAZON,1,94,Détracteur,-1,2,15,8,3,8,13,0,0
74,AMAZON,2,80,Détracteur,-1,8,8,8,1,8,11,0,0
75,AMAZON,2,88,Détracteur,-1,6,11,8,1,6,9,0,0
76,AMAZON,1,45,Détracteur,-1,3,7,3,0,7,3,0,0
